weeks,pv
1,0.9989
2,1.9977
3,2.9955
4,3.9932
5,4.9898
6,5.9864
7,6.9819
8,7.9774
9,8.9717
10,9.9661
11,10.9593
12,11.9525
13,12.9446
14,13.9367
15,14.9277
16,15.9187
17,16.9085
18,17.8984
19,18.8871
20,19.8759
21,20.8635
22,21.8511
23,22.8376
24,23.8241
25,24.8095
26,25.7948
27,26.7791
28,27.7634
29,28.7465
30,29.7297
31,30.7117
32,31.6937
33,32.6747
34,33.6556
35,34.6354
36,35.6152
37,36.5939
38,37.5726
39,38.5502
40,39.5278
41,40.5043
42,41.4808
43,42.4562
44,43.4315
45,44.4058
46,45.3801
47,46.3533
48,47.3264
49,48.2985
50,49.2706
51,50.2416
52,51.2125
53,52.1824
54,53.1523
55,54.1210
56,55.0898
57,56.0575
58,57.0252
59,57.9918
60,58.9583
61,59.9238
62,60.8893
63,61.8537
64,62.8181
65,63.7814
66,64.7447
67,65.7069
68,66.6691
69,67.6302
70,68.5914
71,69.5514
72,70.5114
73,71.4704
74,72.4293
75,73.3872
76,74.3450
77,75.3018
78,76.2586
79,77.2143
80,78.1700
81,79.1246
82,80.0792
83,81.0327
84,81.9862
85,82.9387
86,83.8911
87,84.8425
88,85.7939
89,86.7442
90,87.6945
91,88.6437
92,89.5929
93,90.5410
94,91.4892
95,92.4362
96,93.3833
97,94.3293
98,95.2753
99,96.2202
100,97.1651
101,98.1090
102,99.0529
103,99.9956
104,100.9384
105,101.8801
106,102.8219
107,103.7625
108,104.7032
109,105.6428
110,106.5823
111,107.5209
112,108.4594
113,109.3968
114,110.3343
115,111.2707
116,112.2071
117,113.1424
118,114.0778
119,115.0121
120,115.9463
121,116.8796
122,117.8128
123,118.7449
124,119.6771
125,120.6082
126,121.5393
127,122.4694
128,123.3994
129,124.3284
130,125.2574
131,126.1854
132,127.1133
133,128.0402
134,128.9671
135,129.8930
136,130.8188
137,131.7436
138,132.6684
139,133.5922
140,134.5159
141,135.4386
142,136.3613
143,137.2830
144,138.2047
145,139.1253
146,140.0459
147,140.9655
148,141.8851
149,142.8036
150,143.7221
151,144.6396
152,145.5571
153,146.4736
154,147.3900
155,148.3054
156,149.2209
157,150.1352
158,151.0496
159,151.9630
160,152.8763
161,153.7886
162,154.7009
163,155.6122
164,156.5235
165,157.4337
166,158.3440
167,159.2532
168,160.1624
169,161.0706
170,161.9788
171,162.8859
172,163.7931
173,164.6992
174,165.6054
175,166.5105
176,167.4156
177,168.3197
178,169.2237
179,170.1268
180,171.0298
181,171.9319
182,172.8339
183,173.7349
184,174.6359
185,175.5359
186,176.4359
187,177.3349
188,178.2339
189,179.1318
190,180.0298
191,180.9267
192,181.8236
193,182.7196
194,183.6155
195,184.5104
196,185.4053
197,186.2992
198,187.1931
199,188.0860
200,188.9789
201,189.8707
202,190.7626
203,191.6535
204,192.5443
205,193.4342
206,194.3240
207,195.2129
208,196.1017
209,196.9896
210,197.8774
211,198.7642
212,199.6511
213,200.5369
214,201.4227
215,202.3075
216,203.1924
217,204.0762
218,204.9600
219,205.8428
220,206.7257
221,207.6075
222,208.4893
223,209.3701
224,210.2510
225,211.1308
226,212.0106
227,212.8894
228,213.7683
229,214.6461
230,215.5239
231,216.4008
232,217.2776
233,218.1535
234,219.0293
235,219.9042
236,220.7790
237,221.6529
238,222.5268
239,223.3996
240,224.2725
241,225.1444
242,226.0163
243,226.8872
244,227.7581
245,228.6280
246,229.4979
247,230.3669
248,231.2358
249,232.1037
250,232.9717
251,233.8386
252,234.7056
253,235.5716
254,236.4376
255,237.3026
256,238.1676
257,239.0316
258,239.8956
259,240.7586
260,241.6217
261,242.4838
262,243.3458
263,244.2069
264,245.0680
265,245.9281
266,246.7882
267,247.6474
268,248.5065
269,249.3647
270,250.2228
271,251.0800
272,251.9372
273,252.7935
274,253.6497
275,254.5049
276,255.3602
277,256.2145
278,257.0688
279,257.9221
280,258.7754
281,259.6278
282,260.4801
283,261.3315
284,262.1829
285,263.0333
286,263.8837
287,264.7332
288,265.5827
289,266.4312
290,267.2797
291,268.1272
292,268.9747
293,269.8213
294,270.6679
295,271.5135
296,272.3591
297,273.2038
298,274.0485
299,274.8922
300,275.7359
301,276.5786
302,277.4214
303,278.2632
304,279.1050
305,279.9458
306,280.7866
307,281.6265
308,282.4664
309,283.3054
310,284.1443
311,284.9823
312,285.8203
313,286.6573
314,287.4944
315,288.3305
316,289.1665
317,290.0017
318,290.8368
319,291.6710
320,292.5052
321,293.3385
322,294.1718
323,295.0041
324,295.8364
325,296.6677
326,297.4991
327,298.3295
328,299.1600
329,299.9895
330,300.8190
331,301.6475
332,302.4760
333,303.3037
334,304.1313
335,304.9579
336,305.7846
337,306.6104
338,307.4361
339,308.2609
340,309.0857
341,309.9096
342,310.7334
343,311.5564
344,312.3793
345,313.2013
346,314.0233
347,314.8444
348,315.6655
349,316.4856
350,317.3057
351,318.1250
352,318.9442
353,319.7625
354,320.5807
355,321.3981
356,322.2155
357,323.0319
358,323.8483
359,324.6638
360,325.4794
361,326.2939
362,327.1085
363,327.9222
364,328.7359
365,329.5486
366,330.3613
367,331.1732
368,331.9850
369,332.7959
370,333.6068
371,334.4168
372,335.2268
373,336.0358
374,336.8449
375,337.6530
376,338.4612
377,339.2684
378,340.0757
379,340.8820
380,341.6883
381,342.4937
382,343.2991
383,344.1036
384,344.9081
385,345.7117
386,346.5153
387,347.3180
388,348.1207
389,348.9224
390,349.7242
391,350.5250
392,351.3259
393,352.1259
394,352.9258
395,353.7249
396,354.5239
397,355.3220
398,356.1202
399,356.9174
400,357.7147
401,358.5110
402,359.3073
403,360.1028
404,360.8982
405,361.6927
406,362.4873
407,363.2809
408,364.0745
409,364.8673
410,365.6600
411,366.4518
412,367.2437
413,368.0346
414,368.8256
415,369.6156
416,370.4056
417,371.1948
418,371.9839
419,372.7722
420,373.5605
421,374.3478
422,375.1352
423,375.9217
424,376.7081
425,377.4937
426,378.2793
427,379.0640
428,379.8487
429,380.6325
430,381.4163
431,382.1992
432,382.9821
433,383.7641
434,384.5462
435,385.3273
436,386.1085
437,386.8887
438,387.6690
439,388.4484
440,389.2277
441,390.0062
442,390.7847
443,391.5623
444,392.3399
445,393.1167
446,393.8934
447,394.6693
448,395.4451
449,396.2201
450,396.9951
451,397.7691
452,398.5432
453,399.3165
454,400.0897
455,400.8620
456,401.6344
457,402.4058
458,403.1773
459,403.9479
460,404.7185
461,405.4882
462,406.2579
463,407.0268
464,407.7956
465,408.5636
466,409.3316
467,410.0987
468,410.8658
469,411.6321
470,412.3983
471,413.1637
472,413.9291
473,414.6936
474,415.4581
475,416.2217
476,416.9854
477,417.7481
478,418.5109
479,419.2728
480,420.0347
481,420.7958
482,421.5568
483,422.3170
484,423.0772
485,423.8365
486,424.5959
487,425.3543
488,426.1128
489,426.8704
490,427.6280
491,428.3848
492,429.1415
493,429.8974
494,430.6533
495,431.4084
496,432.1634
497,432.9176
498,433.6718
499,434.4251
500,435.1784
501,435.9309
502,436.6834
503,437.4350
504,438.1866
505,438.9374
506,439.6882
507,440.4381
508,441.1880
509,441.9371
510,442.6862
511,443.4344
512,444.1826
513,444.9300
514,445.6774
515,446.4239
516,447.1704
517,447.9161
518,448.6618
519,449.4067
520,450.1515
521,450.8955
522,451.6395
523,452.3827
524,453.1258
525,453.8681
526,454.6104
527,455.3519
528,456.0934
529,456.8340
530,457.5747
531,458.3145
532,459.0543
533,459.7932
534,460.5322
535,461.2703
536,462.0084
537,462.7457
538,463.4830
539,464.2194
540,464.9559
541,465.6915
542,466.4271
543,467.1619
544,467.8967
545,468.6306
546,469.3646
547,470.0977
548,470.8308
549,471.5631
550,472.2954
551,473.0269
552,473.7583
553,474.4890
554,475.2196
555,475.9494
556,476.6792
557,477.4082
558,478.1372
559,478.8653
560,479.5935
561,480.3208
562,481.0481
563,481.7746
564,482.5012
565,483.2268
566,483.9525
567,484.6774
568,485.4022
569,486.1263
570,486.8503
571,487.5735
572,488.2968
573,489.0192
574,489.7416
575,490.4632
576,491.1847
577,491.9055
578,492.6263
579,493.3462
580,494.0662
581,494.7853
582,495.5044
583,496.2228
584,496.9411
585,497.6586
586,498.3761
587,499.0928
588,499.8095
589,500.5254
590,501.2413
591,501.9563
592,502.6714
593,503.3857
594,504.0999
595,504.8134
596,505.5268
597,506.2395
598,506.9521
599,507.6640
600,508.3758
601,509.0868
602,509.7979
603,510.5081
604,511.2183
605,511.9278
606,512.6372
607,513.3458
608,514.0544
609,514.7622
610,515.4701
611,516.1771
612,516.8841
613,517.5903
614,518.2965
615,519.0019
616,519.7074
617,520.4120
618,521.1166
619,521.8204
620,522.5242
621,523.2273
622,523.9303
623,524.6325
624,525.3347
625,526.0362
626,526.7376
627,527.4382
628,528.1389
629,528.8387
630,529.5386
631,530.2376
632,530.9367
633,531.6349
634,532.3332
635,533.0306
636,533.7281
637,534.4248
638,535.1215
639,535.8174
640,536.5133
641,537.2084
642,537.9035
643,538.5978
644,539.2921
645,539.9856
646,540.6792
647,541.3719
648,542.0646
649,542.7566
650,543.4486
651,544.1397
652,544.8309
653,545.5213
654,546.2117
655,546.9013
656,547.5909
657,548.2797
658,548.9686
659,549.6566
660,550.3447
661,551.0320
662,551.7192
663,552.4057
664,553.0922
665,553.7779
666,554.4636
667,555.1486
668,555.8335
669,556.5177
670,557.2018
671,557.8852
672,558.5686
673,559.2512
674,559.9339
675,560.6157
676,561.2975
677,561.9786
678,562.6597
679,563.3400
680,564.0203
681,564.6998
682,565.3793
683,566.0581
684,566.7368
685,567.4148
686,568.0928
687,568.7701
688,569.4473
689,570.1237
690,570.8002
691,571.4759
692,572.1516
693,572.8265
694,573.5014
695,574.1756
696,574.8497
697,575.5231
698,576.1965
699,576.8692
700,577.5418
701,578.2137
702,578.8855
703,579.5567
704,580.2278
705,580.8981
706,581.5685
707,582.2381
708,582.9077
709,583.5765
710,584.2453
711,584.9134
712,585.5815
713,586.2488
714,586.9161
715,587.5827
716,588.2493
717,588.9151
718,589.5809
719,590.2459
720,590.9110
721,591.5753
722,592.2396
723,592.9031
724,593.5667
725,594.2295
726,594.8923
727,595.5543
728,596.2164
729,596.8777
730,597.5390
731,598.1995
732,598.8601
733,599.5199
734,600.1797
735,600.8388
736,601.4978
737,602.1561
738,602.8144
739,603.4720
740,604.1296
741,604.7864
742,605.4432
743,606.0993
744,606.7553
745,607.4107
746,608.0660
747,608.7206
748,609.3752
749,610.0290
750,610.6829
751,611.3360
752,611.9891
753,612.6415
754,613.2938
755,613.9455
756,614.5971
757,615.2480
758,615.8989
759,616.5490
760,617.1992
761,617.8486
762,618.4980
763,619.1467
764,619.7954
765,620.4434
766,621.0913
767,621.7385
768,622.3857
769,623.0322
770,623.6787
771,624.3245
772,624.9702
773,625.6152
774,626.2602
775,626.9045
776,627.5488
777,628.1924
778,628.8359
779,629.4788
780,630.1216
781,630.7637
782,631.4058
783,632.0472
784,632.6886
785,633.3292
786,633.9699
787,634.6098
788,635.2497
789,635.8889
790,636.5281
791,637.1666
792,637.8051
793,638.4428
794,639.0806
795,639.7176
796,640.3546
797,640.9909
798,641.6272
799,642.2628
800,642.8984
801,643.5333
802,644.1682
803,644.8023
804,645.4365
805,646.0699
806,646.7033
807,647.3360
808,647.9688
809,648.6007
810,649.2327
811,649.8640
812,650.4953
813,651.1259
814,651.7564
815,652.3863
816,653.0162
817,653.6453
818,654.2744
819,654.9029
820,655.5313
821,656.1590
822,656.7867
823,657.4137
824,658.0407
825,658.6670
826,659.2933
827,659.9189
828,660.5445
829,661.1694
830,661.7943
831,662.4184
832,663.0426
833,663.6661
834,664.2895
835,664.9123
836,665.5350
837,666.1571
838,666.7791
839,667.4005
840,668.0218
841,668.6425
842,669.2631
843,669.8831
844,670.5030
845,671.1222
846,671.7415
847,672.3600
848,672.9786
849,673.5964
850,674.2142
851,674.8314
852,675.4485
853,676.0650
854,676.6814
855,677.2971
856,677.9129
857,678.5279
858,679.1430
859,679.7573
860,680.3717
861,680.9853
862,681.5990
863,682.2119
864,682.8249
865,683.4371
866,684.0494
867,684.6610
868,685.2725
869,685.8834
870,686.4943
871,687.1045
872,687.7147
873,688.3242
874,688.9337
875,689.5425
876,690.1513
877,690.7594
878,691.3675
879,691.9749
880,692.5824
881,693.1891
882,693.7958
883,694.4019
884,695.0079
885,695.6133
886,696.2187
887,696.8233
888,697.4280
889,698.0320
890,698.6360
891,699.2393
892,699.8426
893,700.4453
894,701.0479
895,701.6498
896,702.2518
897,702.8531
898,703.4543
899,704.0549
900,704.6555
901,705.2554
902,705.8553
903,706.4545
904,707.0537
905,707.6523
906,708.2508
907,708.8487
908,709.4466
909,710.0437
910,710.6409
911,711.2375
912,711.8340
913,712.4298
914,713.0256
915,713.6208
916,714.2160
917,714.8105
918,715.4050
919,715.9988
920,716.5926
921,717.1857
922,717.7789
923,718.3713
924,718.9638
925,719.5556
926,720.1474
927,720.7386
928,721.3297
929,721.9202
930,722.5106
931,723.1004
932,723.6902
933,724.2793
934,724.8685
935,725.4569
936,726.0454
937,726.6332
938,727.2210
939,727.8081
940,728.3952
941,728.9817
942,729.5681
943,730.1539
944,730.7397
945,731.3249
946,731.9100
947,732.4945
948,733.0789
949,733.6628
950,734.2466
